X1,X2,X3,Y,NX1,NX2,NX3,NY,,,,,,,,,,,,
5514.54,5502.3,5520.87,5535.05,-1.403550646,-1.41802582,-1.414049538,-1.426486762,,,,,,,,,,,,
5535.05,5514.54,5502.3,5523.3,-1.394315851,-1.412462709,-1.408485725,-1.420924187,,,,,,,,,,,,
5523.3,5535.05,5514.54,5557.28,-1.399606384,-1.403140864,-1.399162701,-1.411603239,,,,,,,,,,,,
5557.28,5523.3,5535.05,5572.36,-1.384306611,-1.408481268,-1.40450378,-1.416943129,,,,,,,,,,,,
5572.36,5557.28,5523.3,5567.84,-1.377516718,-1.393037273,-1.389057834,-1.401500623,,,,,,,,,,,,
5567.84,5572.36,5557.28,5561.08,-1.379551885,-1.386183376,-1.38220307,-1.394647385,,,,,,,,,,,,
5561.08,5567.84,5572.36,5552.5,-1.38259563,-1.388237727,-1.384257681,-1.396701539,,,,,,,,,,,,
5552.5,5561.08,5567.84,5576.8,-1.386458846,-1.391310164,-1.387330506,-1.39977368,,,,,,,,,,,,
5576.8,5552.5,5561.08,5633.13,-1.375517572,-1.395209795,-1.39123063,-1.403672935,,,,,,,,,,,,
5633.13,5576.8,5552.5,5676.16,-1.350154529,-1.384165385,-1.380184824,-1.392629589,,,,,,,,,,,,
5676.16,5633.13,5576.8,5698.64,-1.330779919,-1.35856326,-1.354579464,-1.367029931,,,,,,,,,,,,
5698.64,5676.16,5633.13,5738.43,-1.320658115,-1.339006018,-1.335019751,-1.347474573,,,,,,,,,,,,
5738.43,5698.64,5676.16,5701.69,-1.302742342,-1.328788802,-1.324801244,-1.337258342,,,,,,,,,,,,
5701.69,5738.43,5698.64,5759.14,-1.319284828,-1.310704148,-1.306714305,-1.31917543,,,,,,,,,,,,
5759.14,5701.69,5738.43,5766.65,-1.293417496,-1.32740257,-1.323414836,-1.335872243,,,,,,,,,,,,
5766.65,5759.14,5701.69,5824.39,-1.290036057,-1.301291402,-1.297300369,-1.309763591,,,,,,,,,,,,
5824.39,5766.65,5759.14,5827.84,-1.264038149,-1.297878088,-1.293886624,-1.306350606,,,,,,,,,,,,
5827.84,5824.39,5766.65,5842.07,-1.262484759,-1.271635115,-1.267640334,-1.280110161,,,,,,,,,,,,
5842.07,5827.84,5824.39,5853.11,-1.256077585,-1.270067081,-1.266072102,-1.278542278,,,,,,,,,,,,
5853.11,5842.07,5827.84,5874.15,-1.251106735,-1.263599511,-1.259603715,-1.272075331,,,,,,,,,,,,
5874.15,5853.11,5842.07,5965.99,-1.241633303,-1.258581804,-1.254585373,-1.267058107,,,,,,,,,,,,
5965.99,5874.15,5853.11,5977.92,-1.200281591,-1.249019071,-1.245021433,-1.257496296,,,,,,,,,,,,
5977.92,5965.99,5874.15,6045.74,-1.194910011,-1.207277563,-1.20327465,-1.21575881,,,,,,,,,,,,
6045.74,5977.92,5965.99,6045.52,-1.164373502,-1.201855349,-1.19785175,-1.210337117,,,,,,,,,,,,
6045.52,6045.74,5977.92,6077.8,-1.164472559,-1.17103099,-1.167023496,-1.179515729,,,,,,,,,,,,
6077.8,6045.52,6045.74,6123.85,-1.149938225,-1.171130981,-1.167123499,-1.17961571,,,,,,,,,,,,
6123.85,6077.8,6045.52,6107.44,-1.129203835,-1.156459641,-1.152450305,-1.164945783,,,,,,,,,,,,
6107.44,6123.85,6077.8,6218.46,-1.136592572,-1.135529801,-1.131517821,-1.14401796,,,,,,,,,,,,
6218.46,6107.44,6123.85,6221.59,-1.086604909,-1.142988187,-1.138977149,-1.151475627,,,,,,,,,,,,
6221.59,6218.46,6107.44,6297.75,-1.085195601,-1.092529321,-1.088511907,-1.101021623,,,,,,,,,,,,
6297.75,6221.59,6218.46,6285.68,-1.050903938,-1.091106729,-1.087089135,-1.099599167,,,,,,,,,,,,
6285.68,6297.75,6221.59,6353.45,-1.056338555,-1.056491819,-1.052469851,-1.064987593,,,,,,,,,,,,
6353.45,6285.68,6297.75,6318.9,-1.025824558,-1.061977664,-1.05795639,-1.07047291,,,,,,,,,,,,
6318.9,6353.45,6285.68,6484.14,-1.041380978,-1.031176031,-1.027150864,-1.039674244,,,,,,,,,,,,
6484.14,6318.9,6353.45,6709.93,-0.966980317,-1.046879092,-1.042855909,-1.055375792,,,,,,,,,,,,
